Topic,Characteristics,Total,Male,Female
Knowledge of languages,Niger-Congo languages; n.i.e.,490,255,230
Knowledge of languages,Nilo-Saharan languages,25,15,10
Knowledge of languages,Dinka,0,0,0
Knowledge of languages,Nilo-Saharan languages; n.i.e.,25,15,10
Knowledge of languages,Sign languages,1075,395,680
Knowledge of languages,American Sign Language,645,200,440
Knowledge of languages,Quebec Sign Language,0,0,0
Knowledge of languages,Sign languages; n.i.e.,440,190,245
Knowledge of languages,Sino-Tibetan languages,8830,4140,4695
Knowledge of languages,Chinese languages,8725,4095,4630
Knowledge of languages,Cantonese,3965,1790,2175
Knowledge of languages,Hakka,115,55,60
Knowledge of languages,Mandarin,4985,2370,2615
Knowledge of languages,Min Dong,0,0,0
Knowledge of languages,Min Nan (Chaochow; Teochow; Fukien; Taiwanese),290,150,140
Knowledge of languages,Wu (Shanghainese),115,55,60
Knowledge of languages,Chinese; n.o.s.,275,125,150
Knowledge of languages,Chinese languages; n.i.e.,0,0,0
Knowledge of languages,Tibeto-Burman languages,115,50,60
Knowledge of languages,Burmese,30,15,15
Knowledge of languages,Karenic languages,0,0,0
Knowledge of languages,Tibetan,70,30,40
Knowledge of languages,Tibeto-Burman languages; n.i.e.,10,10,10
Knowledge of languages,Tai-Kadai languages,245,155,95
Knowledge of languages,Lao,105,60,45
Knowledge of languages,Thai,160,100,60
Knowledge of languages,Tai-Kadai languages; n.i.e.,0,0,0
Knowledge of languages,Turkic languages,390,190,200
Knowledge of languages,Azerbaijani,40,10,30
Knowledge of languages,Turkish,325,170,160
Knowledge of languages,Uyghur,10,10,0
Knowledge of languages,Uzbek,10,0,10
Knowledge of languages,Turkic languages; n.i.e.,0,0,0
Knowledge of languages,Uralic languages,2110,1020,1090
Knowledge of languages,Estonian,185,85,105
Knowledge of languages,Finnish,270,140,130
Knowledge of languages,Hungarian,1655,795,860
Knowledge of languages,Uralic languages; n.i.e.,0,0,0
Knowledge of languages,Other languages; n.i.e.,140,65,75
Citizenship,Total - Citizenship for the population in private households - 25% sample data,639495,312285,327215
Citizenship,Canadian citizens,614080,300175,313905
Citizenship,Canadian citizens aged under 18,138940,71150,67785
Citizenship,Canadian citizens aged 18 and over,475140,229025,246120
Citizenship,Not Canadian citizens,25415,12105,13305
Immigrant status and period of immigration,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,639490,312280,327210
Immigrant status and period of immigration,Non-immigrants,485560,239245,246320
Immigrant status and period of immigration,Immigrants,150885,71355,79530
Immigrant status and period of immigration,Before 1981,55475,26185,29295
Immigrant status and period of immigration,1981 to 1990,22725,10805,11925
Immigrant status and period of immigration,1991 to 2000,31090,14690,16400
Immigrant status and period of immigration,2001 to 2010,31275,14805,16465
Immigrant status and period of immigration,2001 to 2005,17425,8265,9155
Immigrant status and period of immigration,2006 to 2010,13855,6545,7310
Immigrant status and period of immigration,2011 to 2016,10315,4870,5450
Immigrant status and period of immigration,Non-permanent residents,3045,1680,1365
Age at immigration,Total - Age at immigration for the immigrant population in private households - 25% sample data,150885,71355,79530
Age at immigration,Under 5 years,16915,8555,8365
Age at immigration,5 to 14 years,31555,15710,15845
Age at immigration,15 to 24 years,37000,16125,20875
Age at immigration,25 to 44 years,55445,26815,28635
Age at immigration,45 years and over,9970,4150,5815
Immigrants by selected place of birth,Total - Selected places of birth for the immigrant population in private households - 25% sample data,150880,71350,79530
Immigrants by selected place of birth,Americas,40065,18085,21980
Immigrants by selected place of birth,Brazil,445,165,280
Immigrants by selected place of birth,Colombia,640,315,325
Immigrants by selected place of birth,El Salvador,515,275,240
Immigrants by selected place of birth,Guyana,8100,3645,4450
Immigrants by selected place of birth,Haiti,245,110,135
Immigrants by selected place of birth,Jamaica,12580,5470,7110
Immigrants by selected place of birth,Mexico,545,215,330
Immigrants by selected place of birth,Peru,410,185,230
Immigrants by selected place of birth,Trinidad and Tobago,5990,2835,3155
Immigrants by selected place of birth,United States,4050,1820,2235
Immigrants by selected place of birth,Other places of birth in Americas,6540,3055,3490
Immigrants by selected place of birth,Europe,47350,22690,24660
Immigrants by selected place of birth,Bosnia and Herzegovina,295,165,130
Immigrants by selected place of birth,Croatia,585,305,285
Immigrants by selected place of birth,France,380,205,170
Immigrants by selected place of birth,Germany,3090,1515,1570
Immigrants by selected place of birth,Greece,1565,790,775
Immigrants by selected place of birth,Hungary,890,455,435
Immigrants by selected place of birth,Ireland,1010,460,555
Immigrants by selected place of birth,Italy,3860,2090,1770
Immigrants by selected place of birth,Netherlands,2240,1100,1135
Immigrants by selected place of birth,Poland,3150,1355,1795
Immigrants by selected place of birth,Portugal,2090,1005,1085
Immigrants by selected place of birth,Romania,1590,735,860
Immigrants by selected place of birth,Russian Federation,645,250,390
Immigrants by selected place of birth,Serbia,495,250,240
Immigrants by selected place of birth,Ukraine,695,305,395
Immigrants by selected place of birth,United Kingdom,20380,9595,10780
Immigrants by selected place of birth,Other places of birth in Europe,4385,2110,2275
Immigrants by selected place of birth,Africa,8050,4035,4015
Immigrants by selected place of birth,Algeria,35,10,25
Immigrants by selected place of birth,Egypt,1155,610,550
Immigrants by selected place of birth,Ethiopia,365,180,185
Immigrants by selected place of birth,Kenya,590,285,305
Immigrants by selected place of birth,Morocco,145,85,55
Immigrants by selected place of birth,Nigeria,960,480,480
Immigrants by selected place of birth,Somalia,170,85,90
Immigrants by selected place of birth,South Africa; Republic of,960,500,465
Immigrants by selected place of birth,Other places of birth in Africa,3670,1810,1865
Immigrants by selected place of birth,Asia,54820,26225,28595
Immigrants by selected place of birth,Afghanistan,3405,1685,1725
Immigrants by selected place of birth,Bangladesh,1385,665,715
Immigrants by selected place of birth,China,4230,1890,2345
Immigrants by selected place of birth,Hong Kong,1300,590,710
Immigrants by selected place of birth,India,10070,4985,5085
Immigrants by selected place of birth,Iran,1050,560,490
Immigrants by selected place of birth,Iraq,550,285,260
Immigrants by selected place of birth,Japan,165,30,130
Immigrants by selected place of birth,Korea; South,755,380,375
Immigrants by selected place of birth,Lebanon,1045,585,460
Immigrants by selected place of birth,Pakistan,8025,4115,3910
Immigrants by selected place of birth,Philippines,9350,3895,5455
Immigrants by selected place of birth,Sri Lanka,7860,3795,4065
Immigrants by selected place of birth,Syria,255,135,120
Immigrants by selected place of birth,Taiwan,290,125,170
Immigrants by selected place of birth,Viet Nam,955,405,550
Immigrants by selected place of birth,Other places of birth in Asia,4120,2105,2020
Immigrants by selected place of birth,Oceania and other places of birth,595,320,275
Recent immigrants by selected places of birth,Total - Selected places of birth for the recent immigrant population in private households - 25% sample data,10315,4870,5450
Recent immigrants by selected places of birth,Americas,2200,1130,1070
Recent immigrants by selected places of birth,Brazil,85,35,50
Recent immigrants by selected places of birth,Colombia,90,55,40
Recent immigrants by selected places of birth,Cuba,45,30,15
Recent immigrants by selected places of birth,Haiti,55,25,30
Recent immigrants by selected places of birth,Jamaica,590,350,240
Recent immigrants by selected places of birth,Mexico,110,45,60
Recent immigrants by selected places of birth,United States,450,210,240
Recent immigrants by selected places of birth,Venezuela,25,10,15
Recent immigrants by selected places of birth,Other places of birth in Americas,760,370,385
Recent immigrants by selected places of birth,Europe,1075,520,555
Recent immigrants by selected places of birth,France,30,10,20
Recent immigrants by selected places of birth,Germany,35,15,20
Recent immigrants by selected places of birth,Ireland,35,25,10
Recent immigrants by selected places of birth,Moldova,30,10,15
Recent immigrants by selected places of birth,Romania,125,55,70
Recent immigrants by selected places of birth,Russian Federation,30,10,25
Recent immigrants by selected places of birth,Ukraine,90,35,55
Recent immigrants by selected places of birth,United Kingdom,350,205,150
Recent immigrants by selected places of birth,Other places of birth in Europe,350,155,200
Recent immigrants by selected places of birth,Africa,780,420,365
Recent immigrants by selected places of birth,Algeria,0,0,0
Recent immigrants by selected places of birth,Cameroon,15,15,10
Recent immigrants by selected places of birth,Congo; Democratic Republic of the,40,25,10
Recent immigrants by selected places of birth,C�te d'Ivoire,20,10,10
Recent immigrants by selected places of birth,Egypt,165,90,75
Recent immigrants by selected places of birth,Eritrea,15,0,10
Recent immigrants by selected places of birth,Ethiopia,10,10,0
Recent immigrants by selected places of birth,Morocco,15,10,10
Recent immigrants by selected places of birth,Nigeria,145,75,70
Recent immigrants by selected places of birth,Somalia,0,0,0
Recent immigrants by selected places of birth,South Africa; Republic of,60,25,30
Recent immigrants by selected places of birth,Tunisia,15,20,0
Recent immigrants by selected places of birth,Other places of birth in Africa,290,145,145
Recent immigrants by selected places of birth,Asia,6190,2760,3430
Recent immigrants by selected places of birth,Afghanistan,245,105,140
Recent immigrants by selected places of birth,Bangladesh,165,85,80
Recent immigrants by selected places of birth,China,660,280,380
Recent immigrants by selected places of birth,Hong Kong,20,0,15
Recent immigrants by selected places of birth,India,1440,675,765
Recent immigrants by selected places of birth,Iran,120,60,60
Recent immigrants by selected places of birth,Iraq,65,20,40
Recent immigrants by selected places of birth,Israel,25,20,10
Recent immigrants by selected places of birth,Japan,30,0,30
Recent immigrants by selected places of birth,Korea; South,50,35,20
Recent immigrants by selected places of birth,Lebanon,90,40,55
Recent immigrants by selected places of birth,Nepal,10,10,0
Recent immigrants by selected places of birth,Pakistan,1020,515,510
Recent immigrants by selected places of birth,Philippines,1180,435,750
Recent immigrants by selected places of birth,Saudi Arabia,115,75,40
Recent immigrants by selected places of birth,Sri Lanka,495,220,280
Recent immigrants by selected places of birth,Syria,40,15,20
Recent immigrants by selected places of birth,Taiwan,30,10,20
Recent immigrants by selected places of birth,Turkey,10,0,0
Recent immigrants by selected places of birth,United Arab Emirates,85,35,50
Recent immigrants by selected places of birth,Viet Nam,50,15,30
Recent immigrants by selected places of birth,Other places of birth in Asia,245,120,130
Recent immigrants by selected places of birth,Oceania and other,75,45,30
Recent immigrants by selected places of birth,Australia,55,35,20
Recent immigrants by selected places of birth,Other places of birth,15,10,10
Generation status,Total - Generation status for the population in private households - 25% sample data,639495,312280,327215
Generation status,First generation,156160,74210,81950
Generation status,Second generation,164235,81570,82665
Generation status,Third generation or more,319095,156500,162595
Admission category and applicant type,Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2016 - 25% sample data,97585,46135,51445
Admission category and applicant type,Economic immigrants,42770,21380,21385
Admission category and applicant type,Principal applicants,16525,10530,5995
Admission category and applicant type,Secondary applicants,26245,10860,15390
Admission category and applicant type,Immigrants sponsored by family,38615,16030,22590
Admission category and applicant type,Refugees,15235,8315,6925
Admission category and applicant type,Other immigrants,960,410,545
Aboriginal population,Total - Aboriginal identity for the population in private households - 25% sample data,639495,312280,327210
Aboriginal population,Aboriginal identity,12535,6020,6510
Aboriginal population,Single Aboriginal responses,11930,5735,6200
Aboriginal population,First Nations (North American Indian),7055,3335,3720
Aboriginal population,M�tis,4625,2285,2340
Aboriginal population,Inuk (Inuit),250,115,140
Aboriginal population,Multiple Aboriginal responses,275,125,155
Aboriginal population,Aboriginal responses not included elsewhere,325,165,160
Aboriginal population,Non-Aboriginal identity,626960,306260,320700
Aboriginal population,Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data,639495,312285,327210
Aboriginal population,Registered or Treaty Indian,3505,1725,1780
Aboriginal population,Not a Registered or Treaty Indian,635990,310555,325435
Aboriginal population,Total - Aboriginal ancestry for the population in private households - 25% sample data,639495,312280,327215
Aboriginal population,Aboriginal ancestry (only),1715,815,900
Aboriginal population,Single Aboriginal ancestry (only),1665,810,860
Aboriginal population,First Nations (North American Indian) single ancestry,1130,535,590
Aboriginal population,M�tis single ancestry,520,265,255
Aboriginal population,Inuit single ancestry,20,0,10
Aboriginal population,Multiple Aboriginal ancestries (only),50,10,40
Aboriginal population,First Nations (North American Indian) and M�tis ancestries,30,0,25
Aboriginal population,First Nations (North American Indian) and Inuit ancestries,0,0,0
Aboriginal population,M�tis and Inuit ancestries,15,10,15
Aboriginal population,First Nations (North American Indian); M�tis and Inuit ancestries,0,0,0
Aboriginal population,Aboriginal and non-Aboriginal ancestries,18775,8830,9945
Aboriginal population,Single Aboriginal and non-Aboriginal ancestries,18275,8565,9710
Aboriginal population,First Nations (North American Indian) and non-Aboriginal ancestries,13555,6305,7250
Aboriginal population,M�tis and non-Aboriginal ancestries,4435,2110,2325
Aboriginal population,Inuit and non-Aboriginal ancestries,285,150,135
Aboriginal population,Multiple Aboriginal and non-Aboriginal ancestries,500,265,230
Aboriginal population,First Nations (North American Indian); M�tis and non-Aboriginal ancestries,485,260,225
Aboriginal population,First Nations (North American Indian); Inuit and non-Aboriginal ancestries,10,10,10
Aboriginal population,M�tis; Inuit and non-Aboriginal ancestries,0,10,0
Aboriginal population,First Nations (North American Indian); M�tis; Inuit and non-Aboriginal ancestries,0,0,0
Aboriginal population,Non-Aboriginal ancestry (only),619005,302635,316370
Visible minority population,Total - Visible minority for the population in private households - 25% sample data,639495,312280,327210
Visible minority population,Total visible minority population,173330,84430,88900
Visible minority population,South Asian,55025,27625,27395
Visible minority population,Chinese,12105,5785,6315
Visible minority population,Black,51380,24385,27000
Visible minority population,Filipino,14530,6660,7865
Visible minority population,Latin American,6135,3100,3035
Visible minority population,Arab,5780,3080,2700
Visible minority population,Southeast Asian,2395,1045,1345
Visible minority population,West Asian,6565,3320,3245
Visible minority population,Korean,1165,585,575
Visible minority population,Japanese,1415,695,720
Visible minority population,Visible minority; n.i.e.,8380,3920,4455
Visible minority population,Multiple visible minorities,8475,4230,4240
Visible minority population,Not a visible minority,466165,227850,238310
Ethnic origin population,Total - Ethnic origin for the population in private households - 25% sample data,639495,312280,327210
Ethnic origin population,North American Aboriginal origins,20485,9650,10845
Ethnic origin population,First Nations (North American Indian),15215,7110,8105
Ethnic origin population,Inuit,335,165,170
Ethnic origin population,M�tis,5490,2650,2840
Ethnic origin population,Other North American origins,183940,90725,93215
Ethnic origin population,Acadian,760,380,380
Ethnic origin population,American,7075,3430,3645
Ethnic origin population,Canadian,178170,87990,90180
Ethnic origin population,New Brunswicker,15,15,0
Ethnic origin population,Newfoundlander,1005,460,550
Ethnic origin population,Nova Scotian,105,60,45
Ethnic origin population,Ontarian,110,55,55
Ethnic origin population,Qu�b�cois,300,185,120
Ethnic origin population,Other North American origins; n.i.e.,30,15,15
Ethnic origin population,European origins,416905,202195,214710
Ethnic origin population,British Isles origins,299830,144145,155680
Ethnic origin population,Channel Islander,20,0,15
Ethnic origin population,Cornish,15,10,0
Ethnic origin population,English,176065,84225,91840
Ethnic origin population,Irish,124280,58325,65955
Ethnic origin population,Manx,145,60,85
Ethnic origin population,Scottish,128285,61140,67145
Ethnic origin population,Welsh,12890,6030,6865
Ethnic origin population,British Isles origins; n.i.e.,20435,9395,11040
Ethnic origin population,French origins,53790,25350,28440
Ethnic origin population,Alsatian,10,0,10
Ethnic origin population,Breton,0,0,0
Ethnic origin population,Corsican,0,0,0
Ethnic origin population,French,53780,25350,28425
Ethnic origin population,Western European origins (except French origins),79305,38490,40815
Ethnic origin population,Austrian,3935,2090,1850
Ethnic origin population,Bavarian,10,0,10
Ethnic origin population,Belgian,1665,750,910
Ethnic origin population,Dutch,26965,13015,13945
Ethnic origin population,Flemish,145,95,55
Ethnic origin population,Frisian,75,35,40
Ethnic origin population,German,50805,24525,26275
Ethnic origin population,Luxembourger,15,0,15
Ethnic origin population,Swiss,2140,1130,1015
Ethnic origin population,Western European origins; n.i.e.,70,45,25
Ethnic origin population,Northern European origins (except British Isles origins),11825,5610,6215
Ethnic origin population,Danish,2955,1405,1545
Ethnic origin population,Finnish,2615,1230,1390
Ethnic origin population,Icelandic,725,340,385
Ethnic origin population,Norwegian,2625,1270,1350
Ethnic origin population,Swedish,3050,1450,1600
Ethnic origin population,Northern European origins; n.i.e.,605,275,325
Ethnic origin population,Eastern European origins,55725,26895,28830
Ethnic origin population,Bulgarian,535,260,270
Ethnic origin population,Byelorussian,275,170,105
Ethnic origin population,Czech,1690,870,815
Ethnic origin population,Czechoslovakian; n.o.s.,580,275,300
Ethnic origin population,Estonian,900,480,420
Ethnic origin population,Hungarian,6975,3445,3530
Ethnic origin population,Latvian,795,420,370
Ethnic origin population,Lithuanian,995,455,540
Ethnic origin population,Moldovan,85,55,40
Ethnic origin population,Polish,21480,10210,11275
Ethnic origin population,Romanian,3295,1580,1710
Ethnic origin population,Russian,5725,2665,3065
Ethnic origin population,Slovak,1485,755,730
Ethnic origin population,Ukrainian,19130,9220,9910
Ethnic origin population,Eastern European origins; n.i.e.,160,85,70
Ethnic origin population,Southern European origins,78375,39040,39340
Ethnic origin population,Albanian,365,185,185
Ethnic origin population,Bosnian,260,135,120
Ethnic origin population,Catalan,0,0,0
Ethnic origin population,Croatian,2145,1120,1025
Ethnic origin population,Cypriot,290,140,150
Ethnic origin population,Greek,9345,4645,4700
Ethnic origin population,Italian,36915,18735,18180
Ethnic origin population,Kosovar,65,35,35
Ethnic origin population,Macedonian,4600,2345,2255
Ethnic origin population,Maltese,3115,1420,1690
Ethnic origin population,Montenegrin,55,30,30
Ethnic origin population,Portuguese,14610,7155,7450
Ethnic origin population,Serbian,1335,715,620
Ethnic origin population,Sicilian,355,175,180
Ethnic origin population,Slovenian,1175,620,555
Ethnic origin population,Spanish,9495,4455,5040
Ethnic origin population,Yugoslavian; n.o.s.,1030,535,495
Ethnic origin population,Southern European origins; n.i.e.,0,0,0
Ethnic origin population,Other European origins,2980,1530,1455
Ethnic origin population,Basque,55,25,30
Ethnic origin population,Jewish,1530,785,745
Ethnic origin population,Roma (Gypsy),30,10,30
Ethnic origin population,Slavic; n.o.s.,95,45,50
Ethnic origin population,Other European origins; n.i.e.,1290,675,610
Ethnic origin population,Caribbean origins,49295,23325,25970
Ethnic origin population,Antiguan,465,235,230
Ethnic origin population,Bahamian,230,90,135
Ethnic origin population,Barbadian,3620,1730,1890
Ethnic origin population,Bermudan,120,55,65
Ethnic origin population,Carib,285,95,195
Ethnic origin population,Cuban,640,325,310
Ethnic origin population,Dominican,695,295,395
Ethnic origin population,Grenadian,1625,745,880
Ethnic origin population,Guadeloupean,40,10,30
Ethnic origin population,Haitian,660,325,330
Ethnic origin population,Jamaican,28555,13595,14965
Ethnic origin population,Kittitian/Nevisian,290,135,150
Ethnic origin population,Martinican,45,0,45
Ethnic origin population,Montserratan,65,40,25
Ethnic origin population,Puerto Rican,90,60,25
Ethnic origin population,St. Lucian,705,320,380
Ethnic origin population,Trinidadian/Tobagonian,7860,3605,4260
Ethnic origin population,Vincentian/Grenadinian,1470,665,800
Ethnic origin population,West Indian; n.o.s.,6720,3100,3610
Ethnic origin population,Caribbean origins; n.i.e.,1535,715,820
Ethnic origin population,Latin; Central and South American origins,17980,8645,9335
Ethnic origin population,Aboriginal from Central/South America (except Arawak and Maya),650,325,325
Ethnic origin population,Arawak,90,30,60
Ethnic origin population,Argentinian,280,130,155
Ethnic origin population,Belizean,60,25,35
Ethnic origin population,Bolivian,80,50,35
Ethnic origin population,Brazilian,635,290,340
Ethnic origin population,Chilean,620,290,325
Ethnic origin population,Colombian,910,475,430
Ethnic origin population,Costa Rican,115,70,50
Ethnic origin population,Ecuadorian,570,270,300
Ethnic origin population,Guatemalan,535,265,275
Ethnic origin population,Guyanese,9195,4375,4810
Ethnic origin population,Hispanic,190,80,110
Ethnic origin population,Honduran,65,35,25
Ethnic origin population,Maya,90,60,35
Ethnic origin population,Mexican,1365,690,675
Ethnic origin population,Nicaraguan,260,115,145
Ethnic origin population,Panamanian,235,105,125
Ethnic origin population,Paraguayan,15,0,15
Ethnic origin population,Peruvian,635,330,310
Ethnic origin population,Salvadorean,665,365,300
Ethnic origin population,Uruguayan,100,70,30
Ethnic origin population,Venezuelan,770,355,420
Ethnic origin population,Latin; Central and South American origins; n.i.e.,630,260,370
Ethnic origin population,African origins,19695,9750,9940
Ethnic origin population,Central and West African origins,3815,1915,1900
Ethnic origin population,Akan,20,15,0
Ethnic origin population,Angolan,60,50,10
Ethnic origin population,Ashanti,30,15,10
Ethnic origin population,Beninese,35,10,15
Ethnic origin population,Burkinabe,0,0,0
Ethnic origin population,Cameroonian,240,115,120
Ethnic origin population,Chadian,10,0,10
Ethnic origin population,Congolese,630,355,275
Ethnic origin population,Edo,45,30,15
Ethnic origin population,Ewe,15,10,0
Ethnic origin population,Gabonese,0,0,0
Ethnic origin population,Gambian,35,20,15
Ethnic origin population,Ghanaian,1000,450,550
Ethnic origin population,Guinean,65,40,25
Ethnic origin population,Ibo,90,60,30
Ethnic origin population,Ivorian,70,25,40
Ethnic origin population,Liberian,20,10,0
Ethnic origin population,Malian,20,10,10
Ethnic origin population,Malink�,0,0,0
Ethnic origin population,Nigerian,1240,605,635
Ethnic origin population,Peulh,0,0,0
Ethnic origin population,Senegalese,10,0,10
Ethnic origin population,Sierra Leonean,50,30,20
Ethnic origin population,Togolese,45,35,10
Ethnic origin population,Wolof,0,0,0
Ethnic origin population,Yoruba,215,95,125
Ethnic origin population,Central and West African origins; n.i.e.,260,125,135
Ethnic origin population,North African origins,2780,1390,1390
Ethnic origin population,Algerian,75,35,35
Ethnic origin population,Berber,20,10,10
Ethnic origin population,Coptic,140,70,75
Ethnic origin population,Dinka,0,0,0
Ethnic origin population,Egyptian,1990,980,1005
Ethnic origin population,Libyan,115,70,45
Ethnic origin population,Maure,20,10,15
Ethnic origin population,Moroccan,305,180,125
Ethnic origin population,Sudanese,95,50,45
Ethnic origin population,Tunisian,55,35,25
Ethnic origin population,North African origins; n.i.e.,90,30,55
Ethnic origin population,Southern and East African origins,3895,1965,1930
Ethnic origin population,Afrikaner,10,0,10
Ethnic origin population,Amhara,0,0,0
Ethnic origin population,Bantu; n.o.s.,35,25,10
Ethnic origin population,Burundian,75,40,40
Ethnic origin population,Djiboutian,10,0,10
Ethnic origin population,Eritrean,120,55,75
Ethnic origin population,Ethiopian,620,315,305
Ethnic origin population,Harari,15,10,0
Ethnic origin population,Kenyan,220,115,105
Ethnic origin population,Malagasy,20,10,10
Ethnic origin population,Mauritian,150,65,85
Ethnic origin population,Oromo,35,20,15
Ethnic origin population,Rwandan,65,35,25
Ethnic origin population,Seychellois,50,20,30
Ethnic origin population,Somali,545,235,310
Ethnic origin population,South African,1165,645,520
Ethnic origin population,Tanzanian,135,80,55
Ethnic origin population,Tigrian,0,0,0
Ethnic origin population,Ugandan,110,45,65
Ethnic origin population,Zambian,80,55,25
Ethnic origin population,Zimbabwean,205,100,110
Ethnic origin population,Zulu,20,15,0
Ethnic origin population,Southern and East African origins; n.i.e.,420,165,245
Ethnic origin population,Other African origins,9490,4620,4870
Ethnic origin population,Black; n.o.s.,1585,790,790
Ethnic origin population,Other African origins; n.i.e.,8030,3890,4140
Ethnic origin population,Asian origins,113445,55710,57730
Ethnic origin population,West Central Asian and Middle Eastern origins,16955,8690,8265
Ethnic origin population,Afghan,5745,2855,2885
Ethnic origin population,Arab; n.o.s.,1350,705,645
Ethnic origin population,Armenian,1060,530,530
Ethnic origin population,Assyrian,40,25,20
Ethnic origin population,Azerbaijani,20,10,15
Ethnic origin population,Georgian,20,0,15
Ethnic origin population,Hazara,55,35,20
Ethnic origin population,Iranian,2030,1050,985
Ethnic origin population,Iraqi,620,345,275
Ethnic origin population,Israeli,365,240,130
Ethnic origin population,Jordanian,210,120,90
Ethnic origin population,Kazakh,15,0,10
Ethnic origin population,Kurd,120,75,50
Ethnic origin population,Kuwaiti,0,0,0
Ethnic origin population,Kyrgyz,20,10,15
Ethnic origin population,Lebanese,2790,1370,1415
Ethnic origin population,Palestinian,1250,660,590
Ethnic origin population,Pashtun,90,40,50
Ethnic origin population,Saudi Arabian,165,100,65
Ethnic origin population,Syrian,845,440,405
Ethnic origin population,Tajik,130,70,65
Ethnic origin population,Tatar,35,20,15
Ethnic origin population,Turk,885,455,430
Ethnic origin population,Turkmen,15,10,0
Ethnic origin population,Uighur,15,10,10
Ethnic origin population,Uzbek,90,40,55
Ethnic origin population,Yemeni,25,10,15
Ethnic origin population,West Central Asian and Middle Eastern origins; n.i.e.,440,260,180
Ethnic origin population,South Asian origins,60190,30050,30140
Ethnic origin population,Bangladeshi,1060,495,570
Ethnic origin population,Bengali,450,230,220
Ethnic origin population,Bhutanese,0,0,0
Ethnic origin population,East Indian,38455,19200,19255
Ethnic origin population,Goan,270,135,140
Ethnic origin population,Gujarati,205,100,100
Ethnic origin population,Kashmiri,90,60,35
Ethnic origin population,Nepali,80,40,35
Ethnic origin population,Pakistani,8120,4125,3990
Ethnic origin population,Punjabi,955,500,455
Ethnic origin population,Sinhalese,280,110,170
Ethnic origin population,Sri Lankan,9560,4695,4865
Ethnic origin population,Tamil,3140,1580,1560
Ethnic origin population,South Asian origins; n.i.e.,3095,1550,1550
Ethnic origin population,East and Southeast Asian origins,39125,18370,20750
Ethnic origin population,Burmese,225,85,140
Ethnic origin population,Cambodian (Khmer),220,115,105
Ethnic origin population,Chinese,18560,8890,9675
Ethnic origin population,Filipino,16270,7460,8805
Ethnic origin population,Hmong,0,0,0
Ethnic origin population,Indonesian,530,235,295
Ethnic origin population,Japanese,1910,900,1010
Ethnic origin population,Karen,0,0,0
Ethnic origin population,Korean,1270,625,645
Ethnic origin population,Laotian,165,85,80
Ethnic origin population,Malaysian,420,225,195
Ethnic origin population,Mongolian,225,125,100
Ethnic origin population,Singaporean,55,25,25
Ethnic origin population,Taiwanese,220,80,135
Ethnic origin population,Thai,275,150,120
Ethnic origin population,Tibetan,130,60,65
Ethnic origin population,Vietnamese,1575,700,875
Ethnic origin population,East and Southeast Asian origins; n.i.e.,175,80,95
Ethnic origin population,Other Asian origins,515,235,280
Ethnic origin population,Other Asian origins; n.i.e.,515,240,280
Ethnic origin population,Oceania origins,1160,610,545
Ethnic origin population,Australian,790,400,390
Ethnic origin population,New Zealander,215,110,105
Ethnic origin population,Pacific Islands origins,175,115,60
Ethnic origin population,Fijian,125,85,40
Ethnic origin population,Hawaiian,30,20,10
Ethnic origin population,Maori,0,0,0
Ethnic origin population,Polynesian; n.o.s.,0,0,0
Ethnic origin population,Samoan,10,0,0
Ethnic origin population,Pacific Islands origins; n.i.e.,20,15,10
Household characteristics,Total - Private households by tenure - 25% sample data,227905,,
Household characteristics,Owner,184965,,
Household characteristics,Renter,42930,,
Household characteristics,Band housing,10,,
Household characteristics,Total - Occupied private dwellings by condominium status - 25% sample data,227910,,
Household characteristics,Condominium,16865,,
Household characteristics,Not condominium,211040,,
Household characteristics,Total - Occupied private dwellings by number of bedrooms - 25% sample data,227905,,
Household characteristics,No bedrooms,450,,
Household characteristics,1 bedroom,13635,,
Household characteristics,2 bedrooms,31865,,
Household characteristics,3 bedrooms,96835,,
Household characteristics,4 or more bedrooms,85130,,
Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,227910,,
Household characteristics,1 to 4 rooms,31690,,
Household characteristics,5 rooms,29665,,
Household characteristics,6 rooms,38345,,
Household characteristics,7 rooms,38075,,
Household characteristics,8 or more rooms,90130,,
Household characteristics,Average number of rooms per dwelling,7,,
Household characteristics,Total - Private households by number of persons per room - 25% sample data,227905,,
Household characteristics,One person or fewer per room,225170,,
Household characteristics,More than 1 person per room,2735,,
Household characteristics,Total - Private households by housing suitability - 25% sample data,227910,,
Household characteristics,Suitable,218585,,
Household characteristics,Not suitable,9320,,
Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,227905,,
Household characteristics,1960 or before,35590,,
Household characteristics,1961 to 1980,55475,,
Household characteristics,1981 to 1990,42715,,
Household characteristics,1991 to 2000,35305,,
Household characteristics,2001 to 2005,23420,,
Household characteristics,2006 to 2010,20630,,
Household characteristics,2011 to 2016,14775,,
Household characteristics,Total - Occupied private dwellings by dwelling condition - 25% sample data,227905,,
Household characteristics,Only regular maintenance or minor repairs needed,216955,,
Household characteristics,Major repairs needed,10950,,
Household characteristics,Total - Private households by number of household maintainers - 25% sample data,227910,,
Household characteristics,1 household maintainer,119795,,
